200		OPEN	1	bbe1821f-abab-44ec-b38d-daba85e0b1b7	76	v26-1773536424-3253-w1-a1	0	2168	6781	200	2168	v26-1773536424-3253-w1-a1
200		OPEN	1	5c44dd49-78a3-40fc-8806-648065b9e529	53	v26-1773536424-3253-w25-a1	0	7923	25628	200	7923	v26-1773536424-3253-w25-a1
200		OPEN	1	e5b0b992-8691-4796-a3d7-887073d81b70	110	v26-1773536424-3253-w4-a1	0	7903	33508	200	7903	v26-1773536424-3253-w4-a1
200		OPEN	1	cad9bb30-145b-4d47-aa4b-10a7be921cfa	93	v26-1773536424-3253-w8-a1	0	7608	30965	200	7608	v26-1773536424-3253-w8-a1
200		OPEN	1	80278116-a93b-4838-bdde-c2bee7739ddc	88	v26-1773536424-3253-w10-a1	0	8586	35418	200	8586	v26-1773536424-3253-w10-a1
200		OPEN	1	d6a2dccb-ec8d-4473-8db3-28a5ac12ca49	51	v26-1773536424-3253-w17-a1	0	11721	34130	200	11721	v26-1773536424-3253-w17-a1
200		OPEN	1	f5b6973b-a63e-48f0-af1e-ed0adb084046	110	v26-1773536424-3253-w16-a1	0	10557	33640	200	10557	v26-1773536424-3253-w16-a1
200		OPEN	1	3695eaa8-3f0e-4638-949e-1d72778848c0	96	v26-1773536424-3253-w2-a1	0	8648	37024	200	8648	v26-1773536424-3253-w2-a1
200		OPEN	1	a50887d2-5f98-4ae3-b1d0-dda07e777adc	101	v26-1773536424-3253-w19-a1	0	9497	33332	200	9497	v26-1773536424-3253-w19-a1
200		OPEN	1	4cc69182-c4e8-46df-b027-2b1d2112ef27	137	v26-1773536424-3253-w6-a1	0	10418	38444	200	10418	v26-1773536424-3253-w6-a1
200		OPEN	1	323e0abc-9d65-42c7-b71b-7260864bed4b	111	v26-1773536424-3253-w13-a1	0	8345	37716	200	8345	v26-1773536424-3253-w13-a1
200		OPEN	1	4bbd4758-a8e7-43be-8b0e-5a0e6dd4d546	49	v26-1773536424-3253-w11-a1	0	8566	37582	200	8566	v26-1773536424-3253-w11-a1
200		OPEN	1	0cb1c375-236a-411b-8150-bc8c26b5812f	120	v26-1773536424-3253-w27-a1	0	7246	31926	200	7246	v26-1773536424-3253-w27-a1
200		OPEN	1	5dbf8521-e151-45a6-98f4-29bca7a995f6	123	v26-1773536424-3253-w21-a1	0	9332	35339	200	9332	v26-1773536424-3253-w21-a1
200		OPEN	1	bc941aa6-8882-4502-9932-2b1beb9e298e	91	v26-1773536424-3253-w23-a1	0	13013	36771	200	13013	v26-1773536424-3253-w23-a1
409		OPEN	1		140	v26-1773536424-3253-w20-a3	2	16243	134526	409,409,409	9057,12324,16243	v26-1773536424-3253-w20-a1,v26-1773536424-3253-w20-a2,v26-1773536424-3253-w20-a3
409		OPEN	1		183	v26-1773536424-3253-w22-a3	2	28861	143812	409,409,409	9569,15176,28861	v26-1773536424-3253-w22-a1,v26-1773536424-3253-w22-a2,v26-1773536424-3253-w22-a3
409		OPEN	1		172	v26-1773536424-3253-w9-a3	2	17314	149658	409,409,409	12543,11828,17314	v26-1773536424-3253-w9-a1,v26-1773536424-3253-w9-a2,v26-1773536424-3253-w9-a3
409		OPEN	1		144	v26-1773536424-3253-w5-a3	2	22790	150332	409,409,409	12443,17453,22790	v26-1773536424-3253-w5-a1,v26-1773536424-3253-w5-a2,v26-1773536424-3253-w5-a3
409		OPEN	1		93	v26-1773536424-3253-w7-a3	2	18135	156211	409,409,409	14396,18609,18135	v26-1773536424-3253-w7-a1,v26-1773536424-3253-w7-a2,v26-1773536424-3253-w7-a3
409		OPEN	1		39	v26-1773536424-3253-w29-a3	2	24417	146005	409,409,409	10150,17519,24417	v26-1773536424-3253-w29-a1,v26-1773536424-3253-w29-a2,v26-1773536424-3253-w29-a3
409		OPEN	1		119	v26-1773536424-3253-w31-a3	2	17606	148349	409,409,409	10199,15926,17606	v26-1773536424-3253-w31-a1,v26-1773536424-3253-w31-a2,v26-1773536424-3253-w31-a3
409		OPEN	1		43	v26-1773536424-3253-w12-a3	2	26240	155159	409,409,409	11732,14223,26240	v26-1773536424-3253-w12-a1,v26-1773536424-3253-w12-a2,v26-1773536424-3253-w12-a3
409		OPEN	1		122	v26-1773536424-3253-w33-a3	2	20493	147251	409,409,409	12890,14192,20493	v26-1773536424-3253-w33-a1,v26-1773536424-3253-w33-a2,v26-1773536424-3253-w33-a3
409		OPEN	1		43	v26-1773536424-3253-w15-a3	2	21658	151249	409,409,409	11657,15001,21658	v26-1773536424-3253-w15-a1,v26-1773536424-3253-w15-a2,v26-1773536424-3253-w15-a3
409		OPEN	1		45	v26-1773536424-3253-w14-a3	2	22783	156545	409,409,409	11850,15675,22783	v26-1773536424-3253-w14-a1,v26-1773536424-3253-w14-a2,v26-1773536424-3253-w14-a3
409		OPEN	1		64	v26-1773536424-3253-w26-a3	2	21701	153613	409,409,409	13063,16047,21701	v26-1773536424-3253-w26-a1,v26-1773536424-3253-w26-a2,v26-1773536424-3253-w26-a3
409		OPEN	1		42	v26-1773536424-3253-w18-a3	2	20905	154773	409,409,409	11969,12301,20905	v26-1773536424-3253-w18-a1,v26-1773536424-3253-w18-a2,v26-1773536424-3253-w18-a3
409		OPEN	1		101	v26-1773536424-3253-w32-a3	2	17450	156279	409,409,409	13169,18520,17450	v26-1773536424-3253-w32-a1,v26-1773536424-3253-w32-a2,v26-1773536424-3253-w32-a3
409		OPEN	1		165	v26-1773536424-3253-w3-a3	2	23762	165810	409,409,409	15513,15748,23762	v26-1773536424-3253-w3-a1,v26-1773536424-3253-w3-a2,v26-1773536424-3253-w3-a3
409		OPEN	1		40	v26-1773536424-3253-w36-a3	2	20022	154926	409,409,409	15126,19269,20022	v26-1773536424-3253-w36-a1,v26-1773536424-3253-w36-a2,v26-1773536424-3253-w36-a3
409		OPEN	1		39	v26-1773536424-3253-w30-a3	2	22251	156566	409,409,409	10941,18036,22251	v26-1773536424-3253-w30-a1,v26-1773536424-3253-w30-a2,v26-1773536424-3253-w30-a3
409		OPEN	1		127	v26-1773536424-3253-w28-a3	2	26991	160645	409,409,409	15213,19040,26991	v26-1773536424-3253-w28-a1,v26-1773536424-3253-w28-a2,v26-1773536424-3253-w28-a3
409		OPEN	1		150	v26-1773536424-3253-w34-a3	2	16813	159572	409,409,409	11506,14429,16813	v26-1773536424-3253-w34-a1,v26-1773536424-3253-w34-a2,v26-1773536424-3253-w34-a3
