200		OPEN	1	195f263a-93ba-489b-bc55-c4445b7b1d23	106	v27-1773573539-41837-w4-a1	0	4520	14169	200	4520	v27-1773573539-41837-w4-a1
200		OPEN	1	d6e11119-ae95-4db5-bc4c-c6e1ff133b74	104	v27-1773573539-41837-w6-a1	0	4062	14233	200	4062	v27-1773573539-41837-w6-a1
200		OPEN	1	d78a9fd6-9947-4908-8be2-c428a7b0f016	113	v27-1773573539-41837-w2-a1	0	5713	15667	200	5713	v27-1773573539-41837-w2-a1
200		OPEN	1	fa60ea4c-b888-4705-834d-0591098a926a	103	v27-1773573539-41837-w3-a1	0	4558	17708	200	4558	v27-1773573539-41837-w3-a1
200		OPEN	1	2b198506-5355-4674-b6aa-ae3630aac9c9	106	v27-1773573539-41837-w5-a1	0	5719	18709	200	5719	v27-1773573539-41837-w5-a1
200		OPEN	1	27c461d3-ecc0-4382-9d7d-f7981c9384cb	97	v27-1773573539-41837-w7-a1	0	5222	17784	200	5222	v27-1773573539-41837-w7-a1
200		OPEN	1	6376ce42-16a4-413b-8973-ada31f8d71ee	73	v27-1773573539-41837-w1-a1	0	5064	18994	200	5064	v27-1773573539-41837-w1-a1
200		OPEN	1	9233e861-21d6-4df5-8e8f-b02103a94e0f	52	v27-1773573539-41837-w8-a1	0	5842	22356	200	5842	v27-1773573539-41837-w8-a1
200		OPEN	1	cec539b8-c353-41c2-9877-f700b920b681	115	v27-1773573539-41837-w10-a1	0	6159	20098	200	6159	v27-1773573539-41837-w10-a1
200		OPEN	1	ac7541dc-546c-4c48-994a-956d651c3684	49	v27-1773573539-41837-w12-a1	0	6375	24020	200	6375	v27-1773573539-41837-w12-a1
200		OPEN	1	5611eba7-03ec-4378-922f-55756ba882d6	119	v27-1773573539-41837-w14-a1	0	8754	22138	200	8754	v27-1773573539-41837-w14-a1
200		OPEN	1	161cc659-5255-4551-81fe-3ae73223ee34	107	v27-1773573539-41837-w9-a1	0	8337	24708	200	8337	v27-1773573539-41837-w9-a1
200		OPEN	1	e5f65f0b-fdd3-49f9-be2e-d18c268b59f2	120	v27-1773573539-41837-w11-a1	0	7483	24559	200	7483	v27-1773573539-41837-w11-a1
200		OPEN	1	cfb07610-4d71-46b4-b02f-0f6c0bca6651	124	v27-1773573539-41837-w15-a1	0	7909	23884	200	7909	v27-1773573539-41837-w15-a1
200		OPEN	1	1f9547ab-bacc-483a-affe-f5856cdd62ac	56	v27-1773573539-41837-w13-a1	0	8939	26812	200	8939	v27-1773573539-41837-w13-a1
409		OPEN	1		141	v27-1773573539-41837-w18-a3	2	19637	130151	409,409,409	8065,16380,19637	v27-1773573539-41837-w18-a1,v27-1773573539-41837-w18-a2,v27-1773573539-41837-w18-a3
409		OPEN	1		121	v27-1773573539-41837-w19-a3	2	25114	131743	409,409,409	9970,10997,25114	v27-1773573539-41837-w19-a1,v27-1773573539-41837-w19-a2,v27-1773573539-41837-w19-a3
409		OPEN	1		102	v27-1773573539-41837-w22-a3	2	16565	130037	409,409,409	8998,13260,16565	v27-1773573539-41837-w22-a1,v27-1773573539-41837-w22-a2,v27-1773573539-41837-w22-a3
409		OPEN	1		41	v27-1773573539-41837-w20-a3	2	19598	130959	409,409,409	10078,14796,19598	v27-1773573539-41837-w20-a1,v27-1773573539-41837-w20-a2,v27-1773573539-41837-w20-a3
409		OPEN	1		108	v27-1773573539-41837-w27-a3	2	23231	135967	409,409,409	7781,15075,23231	v27-1773573539-41837-w27-a1,v27-1773573539-41837-w27-a2,v27-1773573539-41837-w27-a3
409		OPEN	1		200	v27-1773573539-41837-w16-a3	2	26195	139867	409,409,409	8169,18428,26195	v27-1773573539-41837-w16-a1,v27-1773573539-41837-w16-a2,v27-1773573539-41837-w16-a3
